time,open,high,low,close,RSI_7,RSI_14
05-09-23,1.07217,1.0749,1.07027,1.07272,30.97345083,35.00009015
06-09-23,1.07272,1.0732,1.06861,1.06959,27.37510798,32.84249575
07-09-23,1.06959,1.07438,1.0694,1.06992,28.39828961,33.30928442
10-09-23,1.06992,1.07594,1.06992,1.07504,42.94764152,40.24857008
11-09-23,1.07504,1.07694,1.07056,1.07566,44.53974265,41.04849767
12-09-23,1.07566,1.0765,1.07112,1.07298,39.04494441,38.64041212
13-09-23,1.07298,1.07523,1.06319,1.0644,26.7286443,32.1397908
14-09-23,1.0644,1.06878,1.06333,1.06592,31.21324098,34.25011462
17-09-23,1.06592,1.06989,1.06548,1.06919,40.37298226,38.66890571
18-09-23,1.06919,1.0718,1.06752,1.06791,38.05857446,37.60357486
19-09-23,1.06791,1.07369,1.06502,1.06599,34.58864498,36.0013716
20-09-23,1.06599,1.06736,1.06169,1.0661,34.98485088,36.16917281
21-09-23,1.0661,1.06718,1.0615,1.06448,31.68708924,34.72514517
24-09-23,1.06448,1.06557,1.05753,1.05932,23.46697544,30.54241649
25-09-23,1.05932,1.06091,1.05622,1.0572,20.87168512,28.99702029
26-09-23,1.0572,1.05743,1.0488,1.05026,14.67381706,24.60754143
27-09-23,1.05026,1.0579,1.04911,1.05664,35.28481456,34.43374702
28-09-23,1.05664,1.06171,1.05581,1.05744,37.4936184,35.56775265
01-10-23,1.05744,1.05919,1.04779,1.0478,25.33648561,29.04810184
02-10-23,1.0478,1.04936,1.04485,1.04669,24.27894664,28.40251403
03-10-23,1.04669,1.05322,1.04515,1.0504,34.87817585,33.70584144
04-10-23,1.0504,1.05518,1.05,1.0551,46.04138729,39.79034867
05-10-23,1.0551,1.06002,1.04824,1.05872,53.24353127,44.049741
08-10-23,1.05872,1.05872,1.05195,1.05668,48.94811387,42.23641911
09-10-23,1.05668,1.06199,1.05544,1.06047,56.54646658,46.63190576
10-10-23,1.06047,1.06348,1.05818,1.06183,59.09522213,48.15642252
11-10-23,1.06183,1.06399,1.05258,1.05283,40.67540355,40.01092862
12-10-23,1.05283,1.05586,1.04954,1.0509,37.73291409,38.50674953
15-10-23,1.0509,1.05628,1.0509,1.05593,48.95966372,44.37594927
16-10-23,1.05593,1.0595,1.05329,1.05762,52.32878922,46.23278046
17-10-23,1.05762,1.05945,1.05232,1.0536,44.2270577,42.59070708
18-10-23,1.0536,1.06168,1.05282,1.05814,53.67666153,47.61020059
19-10-23,1.05814,1.06038,1.0565,1.05948,56.23029965,49.02681958
22-10-23,1.05948,1.0678,1.05715,1.06686,67.67873636,56.07188651
23-10-23,1.06686,1.06946,1.0583,1.0591,51.23812417,48.48383306
24-10-23,1.0591,1.06068,1.05658,1.05661,46.96699295,46.3178459
25-10-23,1.05661,1.05735,1.05218,1.05639,46.56686689,46.12179307
26-10-23,1.05639,1.05971,1.05352,1.05652,46.87885566,46.26652856
29-10-23,1.05652,1.06253,1.05472,1.06151,57.88970036,51.63705112
30-10-23,1.06151,1.0675,1.05574,1.05743,48.33308442,47.4602308
31-10-23,1.05743,1.05806,1.05166,1.0569,47.15336688,46.9291901
01-11-23,1.0569,1.06678,1.0567,1.06224,58.93525368,52.6748514
02-11-23,1.06224,1.07469,1.06149,1.07286,72.93532798,61.58280424
05-11-23,1.07286,1.07564,1.07165,1.07177,70.07463778,60.32767294
06-11-23,1.07177,1.07224,1.06642,1.07,65.2277928,58.25147813
07-11-23,1.07,1.07162,1.06594,1.07093,66.64213027,59.04894201
08-11-23,1.07093,1.07256,1.06603,1.06681,55.06595659,54.11716007
09-11-23,1.06681,1.06929,1.06562,1.06847,58.45799873,55.7217988
12-11-23,1.06847,1.07062,1.06651,1.06992,61.42551164,57.13207456
13-11-23,1.06992,1.08876,1.06929,1.08791,81.03503857,69.92908577
14-11-23,1.08791,1.08861,1.08316,1.08476,73.41149017,66.20247217
15-11-23,1.08476,1.08956,1.08302,1.08528,73.88466271,66.5196653
16-11-23,1.08528,1.09143,1.08248,1.09127,78.92503552,70.01112605
19-11-23,1.09127,1.09519,1.08975,1.094,80.88653853,71.47134884
20-11-23,1.094,1.09652,1.09002,1.09108,72.4697592,67.67561244
21-11-23,1.09108,1.0923,1.08524,1.08888,66.39676035,64.87986142
22-11-23,1.08888,1.09309,1.08825,1.09066,68.86001279,66.10010534
23-11-23,1.09066,1.09489,1.0895,1.09399,73.15500279,68.31786168
26-11-23,1.09399,1.09592,1.0925,1.09545,74.9241151,69.2671786
27-11-23,1.09545,1.1009,1.09346,1.09952,79.35000275,71.80357441
28-11-23,1.09952,1.10173,1.09602,1.09698,70.31407994,68.03011411
29-11-23,1.09698,1.0984,1.08794,1.08884,49.31697313,57.5857069
30-11-23,1.08884,1.09128,1.08289,1.08833,48.26348796,56.9952991
03-12-23,1.08833,1.0895,1.08041,1.08363,39.24910101,51.73143931
04-12-23,1.08363,1.08476,1.0778,1.07983,33.37005404,47.88109333
05-12-23,1.07983,1.08048,1.07587,1.07644,28.86937996,44.68576715
06-12-23,1.07644,1.08178,1.07551,1.0793,37.20535471,47.84785775
07-12-23,1.0793,1.08008,1.07237,1.0761,32.26890458,44.76439462
10-12-23,1.0761,1.0779,1.07416,1.07644,33.36484873,45.16870823
11-12-23,1.07644,1.08282,1.07603,1.07946,42.93360654,48.7566815
12-12-23,1.07946,1.08966,1.07732,1.08751,60.55050216,56.86018181
13-12-23,1.08751,1.10094,1.08736,1.09918,74.08253905,65.40193275
14-12-23,1.09918,1.10037,1.08886,1.08948,55.59097479,55.55545577
17-12-23,1.08948,1.09312,1.08921,1.09236,59.1251008,57.59670184
18-12-23,1.09236,1.09876,1.09148,1.09809,65.49833364,61.39562292
19-12-23,1.09809,1.09852,1.09298,1.09434,58.53034248,57.74919291
20-12-23,1.09434,1.10127,1.09352,1.10122,66.22193209,62.18649742
21-12-23,1.10122,1.10404,1.0994,1.10146,66.47499246,62.33510074
25-12-23,1.10146,1.10451,1.10079,1.1042,69.51682715,64.07110001
26-12-23,1.1042,1.11228,1.10284,1.11066,75.60510452,67.83519279
27-12-23,1.11066,1.11396,1.10552,1.10626,65.24943947,62.99433074
28-12-23,1.10626,1.10844,1.10342,1.10374,59.77844652,60.33853334
01-01-24,1.10374,1.10453,1.09383,1.09406,43.45120544,51.37806486
02-01-24,1.09406,1.09656,1.08929,1.0922,40.94425618,49.84630321
03-01-24,1.0922,1.09724,1.0916,1.0945,45.48205148,51.76147206
04-01-24,1.0945,1.09986,1.0877,1.09423,45.00839983,51.51279265
07-01-24,1.09423,1.0979,1.09226,1.09506,46.98833762,52.27190546
08-01-24,1.09506,1.09665,1.09102,1.09313,42.80716885,50.29989102
09-01-24,1.09313,1.0973,1.0923,1.09727,53.22370369,54.28405475
10-01-24,1.09727,1.09996,1.09303,1.09736,53.43878119,54.36969148
11-01-24,1.09736,1.0987,1.0936,1.09508,47.04546693,51.72618802
14-01-24,1.09508,1.09676,1.09336,1.09503,46.90190413,51.66686067
15-01-24,1.09503,1.09512,1.08621,1.08756,30.61702542,43.61782671
16-01-24,1.08756,1.08846,1.08446,1.08821,32.97936401,44.42908044
17-01-24,1.08821,1.09068,1.08468,1.08763,31.85043653,43.82315683
18-01-24,1.08763,1.08978,1.08657,1.08976,40.56707916,46.69810169
21-01-24,1.08976,1.09098,1.088,1.08826,36.70943385,44.95336175
22-01-24,1.08826,1.0916,1.08216,1.08536,30.22627438,41.70883778
23-01-24,1.08536,1.09324,1.0848,1.08842,42.6867418,46.12724847
24-01-24,1.08842,1.09021,1.08217,1.08472,34.09691203,41.98338187
25-01-24,1.08472,1.08865,1.08129,1.08546,37.05251906,43.0846481
28-01-24,1.08546,1.08546,1.0796,1.08333,32.2026772,40.69042453
29-01-24,1.08333,1.08574,1.0812,1.08456,37.69673172,42.67159657
30-01-24,1.08456,1.08876,1.0795,1.08176,31.02053135,39.44168634
31-01-24,1.08176,1.08749,1.078,1.0872,50.77933998,47.72116535
01-02-24,1.0872,1.08976,1.07805,1.0787,33.35994539,38.79592272
